"id","druh","jmeno","vaha","narozen","spotreba"
"577","93","Zina","89","1973-01-10",NULL
"578","27","Chiky","32","2005-08-25",NULL
"579","8","Dejsi","125","1972-01-16",NULL
"580","83","Jeremy","74","1984-01-15",NULL
"581","35","Minda","3","1966-11-18",NULL
"582","91","Mercedes","78","1992-12-09",NULL
"583","94","Sefer","21","1931-01-20",NULL
"584","43","Napoleon","118","1986-12-18",NULL
"585","39","Elizabet","9","1982-08-20",NULL
"586","27","Mirinda","3","1989-01-10",NULL
"587","88","Flik","82","1938-02-19",NULL
"588","3","Miska","95","2008-02-09",NULL
"589","68","Gulliver","87","1915-02-28",NULL
"590","9","Lesana","144","1914-01-06",NULL
"591","9","zolik","79","1939-05-13",NULL
"592","32","Kulik","49","1991-07-04",NULL
"593","39","Nela","78","1980-06-01",NULL
"594","55","Moby","31","1964-04-20",NULL
"595","78","Guiseppe","116","1995-01-08",NULL
"596","42","Quiseppe","42","1945-01-31",NULL
"597","89","Andicka","18","2002-12-22",NULL
"598","97","Arinka","142","1942-07-23",NULL
"599","64","Kajda","103","1940-06-20",NULL
"600","51","Vanesa","66","1963-06-07",NULL
"601","78","Adinka","144","2010-07-31",NULL
"602","99","Wendy","137","1977-07-29",NULL
"603","50","Titinka","18","1992-10-20",NULL
"604","17","Minonka","7","1920-03-08",NULL
"605","103","Piskutek","125","1959-01-14",NULL
"606","20","Valentino","3","1975-07-20",NULL
"607","93","Nicholas","71","1911-06-05",NULL
"608","82","Fany","28","1993-01-07",NULL
"609","76","Pindulka","5","1971-11-13",NULL
"610","76","Misa","61","1969-01-13",NULL
"611","54","Cak Norris","113","1966-04-24",NULL
"612","83","Niki","90","1939-04-15",NULL
"613","44","Ria","17","1986-03-08",NULL
"614","24","Jejdik","39","1923-12-01",NULL
"615","76","Belisa","44","1975-08-28",NULL
"616","50","Lady","79","1921-07-01",NULL
"617","58","Clarence","142","1991-01-17",NULL
"618","36","Dyda","59","1931-10-15",NULL
"619","14","Stin","51","1948-05-28",NULL
"620","98","Vesper","148","1935-06-27",NULL
"621","9","Ghandi","67","1920-12-20",NULL
"622","73","Faust","136","1935-01-21",NULL
"623","20","Jantarka","136","1975-02-14",NULL
"624","20","Jamie","132","1911-06-02",NULL
"625","74","Billinka","40","1942-03-30",NULL
"626","79","Baba","53","1991-10-19",NULL
"627","94","Australka","28","1947-03-24",NULL
"628","95","Tapi","59","1997-05-05",NULL
"629","19","Franceska","45","1981-11-24",NULL
"630","78","Ashanti","72","1958-04-24",NULL
"631","43","Morfeus","144","1934-08-12",NULL
"632","87","Mikca","8","1934-10-17",NULL
"633","32","Lotty","36","1932-11-18",NULL
"634","61","Annifer","132","1974-10-18",NULL
"635","5","Kocka","29","1938-03-19",NULL
"636","61","Xai","53","1929-05-09",NULL
"637","68","Pucinka","55","1994-10-23",NULL
"638","87","Chery","20","1974-12-11",NULL
"639","9","Dada","19","2005-01-22",NULL
"640","18","Tuplich","91","1963-05-08",NULL
"641","88","Kobliha","14","1964-03-29",NULL
"642","101","Jeddy","108","1993-11-28",NULL
"643","95","Alejenzourek","45","1917-10-20",NULL
"644","67","Kofik","46","1917-10-20",NULL
"645","69","Dita","16","1950-05-14",NULL
"646","24","Korina","111","1961-03-28",NULL
"647","90","Falco","90","1991-10-31",NULL
"648","21","Amazonka","105","1938-04-28",NULL
"649","9","Riky","71","1956-10-27",NULL
"650","41","Ruzena","118","1979-11-14",NULL
"651","81","Nikola","32","1991-09-12",NULL
"652","48","Apple","94","1933-10-09",NULL
"653","32","Majkiii","35","1956-05-18",NULL
"654","102","Andi","19","1917-05-21",NULL
"655","38","Marcela","144","2006-06-01",NULL
"656","51","Anezka","123","1942-12-08",NULL
"657","30","Marita","91","1984-01-21",NULL
"658","40","Nelinka","15","1928-05-01",NULL
"659","32","Brambas","105","2004-02-17",NULL
"660","33","Pusinka","146","1950-09-10",NULL
"661","21","Miss","20","2003-09-04",NULL
"662","26","Buffy","91","1981-04-10",NULL
"663","59","Milhouse","78","1932-01-28",NULL
"664","35","Anastazie","79","2005-03-03",NULL
"665","13","Mimik","1","1944-08-31",NULL
"666","10","LasesQa","101","1970-06-05",NULL
"667","38","Chuva","137","2006-12-18",NULL
"668","53","Tamayka","50","1938-07-02",NULL
"669","1","Misa","39","1982-02-17",NULL
"670","77","Milosek","10","1936-02-18",NULL
"671","19","Lenny","35","1970-11-12",NULL
"672","90","Olisek","73","1982-09-27",NULL
"673","82","Spike","54","1915-12-30",NULL
"674","3","Kajsinka","56","1968-04-17",NULL
"675","57","Vincek","78","1934-06-18",NULL
"676","95","Scheila","104","2004-01-13",NULL
"677","60","Brudka","72","1979-09-23",NULL
"678","72","Mrumlinka","41","1949-04-11",NULL
"679","102","Lussi","113","1943-11-15",NULL
"680","63","Samara","122","1912-05-15",NULL
"681","27","Marilyn","31","1992-11-06",NULL
"682","15","Astel","74","1942-03-06",NULL
"683","56","Yanka","67","1994-12-10",NULL
"684","31","Cicoun","7","1963-02-24",NULL
"685","22","Querlik","134","1967-08-02",NULL
"686","16","Toy","49","1937-04-20",NULL
"687","7","Biiiiiiiibiiii","74","1994-05-03",NULL
"688","31","Nefertiti","18","1974-09-30",NULL
"689","33","Mana","30","2005-06-27",NULL
"690","71","Katka","40","1966-01-29",NULL
"691","74","Cicina","48","1976-08-13",NULL
"692","37","Absint","39","1973-08-31",NULL
"693","15","Marwinek","32","1975-03-20",NULL
"694","55","Emuska","142","1917-11-20",NULL
"695","45","Micacek","60","1952-05-31",NULL
"696","54","Picmoch","80","1945-03-20",NULL
"697","76","Sheena","146","1957-08-02",NULL
"698","24","Idea","111","1967-02-14",NULL
"699","5","Vanilka","13","1951-09-03",NULL
"700","35","Iras","108","1945-09-30",NULL
"701","97","Kiss","72","2010-05-22",NULL
"702","44","Karfild","36","2003-08-27",NULL
"703","66","Sona","51","2001-12-10",NULL
"704","91","Bobulka","137","1987-07-30",NULL
"705","92","Meggie","45","1920-11-17",NULL
"706","3","Balbin","95","2004-03-14",NULL
"707","102","Oona","75","1947-05-26",NULL
"708","50","Noris","80","1934-12-22",NULL
"709","33","Windy","13","1921-06-09",NULL
"710","14","Macuska","37","1917-01-10",NULL
"711","88","Kioko","52","1957-06-26",NULL
"712","35","Pizla","141","1925-03-30",NULL
"713","98","Mirabella","110","1916-06-08",NULL
"714","81","Malinka","113","1969-02-13",NULL
"715","25","Plesnivka","49","1985-03-11",NULL
"716","89","Pandicka","11","2007-06-04",NULL
"717","16","Bublinka","11","1918-05-30",NULL
"718","33","Edward","139","1984-05-04",NULL
"719","27","Bona","19","1929-06-02",NULL
"720","6","Micina","80","1982-09-09",NULL
"721","27","Abel","136","1940-03-01",NULL
"722","68","Amadeus","128","1989-05-08",NULL
"723","18","Teri","36","1963-02-20",NULL
"724","32","Emilka","30","1988-05-28",NULL
"725","97","Hathor","114","1915-07-04",NULL
"726","55","Sisi","128","1948-10-31",NULL
"727","75","Pomnenka","108","1938-07-24",NULL
"728","75","Wey-ling","83","1930-12-12",NULL
"729","61","Dijka","76","1979-11-02",NULL
"730","41","Heksan","47","1969-03-20",NULL
"731","35","Adus","139","1969-04-25",NULL
"732","40","Linssi","105","1953-10-07",NULL
"733","40","Bilka","46","1949-08-24",NULL
"734","43","Ciko","49","1923-08-30",NULL
"735","4","Bianca","41","1984-01-22",NULL
"736","86","Puclik","143","1960-03-07",NULL
"737","47","Irma","29","1989-07-01",NULL
"738","52","Silvestr","62","1929-10-31",NULL
"739","35","Sennynka","26","1943-04-12",NULL
"740","90","Pacicka","123","1963-08-18",NULL
"741","13","Damian","80","1951-02-13",NULL
"742","89","Lucinka","71","1953-06-17",NULL
"743","78","Timur","116","1928-10-12",NULL
"744","74","Otylka","148","1972-03-20",NULL
"745","81","Titty","2","1985-07-12",NULL
"746","90","Carmencita","35","1925-11-21",NULL
"747","61","Alois","37","2009-05-25",NULL
"748","10","Ikarus","23","2010-05-13",NULL
"749","66","Minicka","12","1938-07-11",NULL
"750","79","Bacu","58","1946-01-18",NULL
"751","4","Lejdy","63","1977-05-31",NULL
"752","41","Prtka","61","1911-10-22",NULL
"753","43","Bublibudka","9","1941-05-30",NULL
"754","30","Drna","132","1960-06-19",NULL
"755","12","Syvula","32","1966-12-02",NULL
"756","37","Certik","123","1942-01-07",NULL
"757","93","Zizla","51","1998-01-09",NULL
"758","75","Mnauz","142","1974-12-05",NULL
"759","37","Pudlenka","61","1921-05-29",NULL
"760","84","Pokójo","28","1944-11-11",NULL
"761","52","Duhovka","80","1948-11-30",NULL
"762","42","Samira","43","1998-09-27",NULL
"763","52","Ninus","59","2009-11-01",NULL
"764","40","Frankie","60","1941-11-06",NULL
"765","4","Kino","61","1942-05-07",NULL
"766","17","Cornelia","117","1996-11-05",NULL
"767","55","Nikolka","63","1924-04-01",NULL
"768","12","Mnaudama","111","1993-03-31",NULL
"769","94","Mominko","144","1956-06-08",NULL
"770","103","Bumbundulak","112","1917-03-17",NULL
"771","26","Hanicka","5","1953-05-02",NULL
"772","75","Monthy","36","1951-11-04",NULL
"773","69","Bastet","135","1987-12-17",NULL
"774","101","Kvetuska","146","1925-04-05",NULL
"775","45","Silkina","86","1972-12-09",NULL
"776","75","Brucka","91","1929-11-24",NULL
"777","69","Natasha","37","1967-04-10",NULL
"778","97","Chlupacek","6","1983-06-21",NULL
"779","83","Whiskers","46","1930-06-08",NULL
"780","104","Alo","118","1964-05-14",NULL
"781","7","Timania","21","1967-05-05",NULL
"782","11","Amada","51","1958-06-09",NULL
"783","88","Trinniti","106","2000-10-28",NULL
"784","11","Elza","3","1995-10-19",NULL
"785","98","Kurziva","2","1939-05-03",NULL
"786","84","Theo","71","1919-11-11",NULL
"787","36","Kellynka","80","1969-12-30",NULL
"788","70","Ivanka","117","1979-04-14",NULL
"789","12","Quisda","51","1975-04-01",NULL
"790","18","Alexeja","4","1975-02-17",NULL
"791","83","Mim","145","1912-09-20",NULL
"792","97","Russy","36","2000-10-01",NULL
"793","42","Vendulina","96","2006-08-22",NULL
"794","21","Sylvyana","87","1945-11-06",NULL
"795","74","Barbucha","146","1993-10-30",NULL
"796","44","Kóca","84","1994-06-28",NULL
"797","91","Pucifous","95","1957-11-17",NULL
"798","58","Dildo","104","1990-07-06",NULL
"799","52","Diddlinka","28","1993-10-25",NULL
"800","12","Cita","139","1986-05-15",NULL
"801","84","Soniste","12","1987-02-18",NULL
"802","65","Blaznivka","83","1939-05-16",NULL
"803","34","Menza","53","1924-02-23",NULL
"804","82","Waldemar","115","1965-04-18",NULL
"805","91","Murka","42","1942-12-07",NULL
"806","59","Belle","128","1981-06-15",NULL
"807","9","Asis","65","1967-05-13",NULL
"808","30","Xaver","123","1955-03-13",NULL
"809","100","Pan Max","101","1988-08-25",NULL
"810","27","Sandra","91","1940-07-20",NULL
"811","52","Dabel","18","1999-05-31",NULL
"812","73","Delphine","118","1938-05-11",NULL
"813","6","Masemenonasaku","42","1930-02-25",NULL
"814","13","Mindik","2","1924-06-09",NULL
"815","46","Certi","110","1946-07-04",NULL
"816","23","Lucius","68","1995-12-13",NULL
"817","16","Evca","50","1981-03-18",NULL
"818","86","Jonet","91","1954-12-08",NULL
"819","32","Asinka","44","1945-10-25",NULL
"820","37","Tante-Mützi","44","2000-12-08",NULL
"821","44","Zlatuska","91","1956-03-12",NULL
"822","4","Misule","64","1992-11-10",NULL
"823","101","Puma","8","2006-07-05",NULL
"824","98","Viktorie","119","1968-11-13",NULL
"825","28","Dita","82","1987-07-01",NULL
"826","4","Sylva","28","1919-10-06",NULL
"827","20","Filemon","10","1972-11-10",NULL
"828","68","Knoural","102","1945-12-29",NULL
"829","39","Dalik","83","1948-01-21",NULL
"830","39","Rory","9","1965-01-14",NULL
"831","28","James","35","1995-11-10",NULL
"832","2","Cukrinka","70","1999-01-29",NULL
"833","60","AbuMusa Zarkavi","25","1918-08-13",NULL
"834","40","Firacaja","144","1958-05-17",NULL
"835","46","Artemida","9","1976-12-10",NULL
"836","31","Gabriela","20","1920-05-20",NULL
"837","97","Megyen","43","1959-09-15",NULL
"838","74","Nina","138","1974-03-08",NULL
"839","13","Antonin","142","2006-08-20",NULL
"840","24","Midnight","82","1947-06-29",NULL
"841","98","Megi","112","1958-04-05",NULL
"842","15","Tichoslapka","10","1959-07-22",NULL
"843","86","Clea","105","1985-09-24",NULL
"844","92","Azrael","134","1912-11-18",NULL
"845","62","Mara","99","1921-11-03",NULL
"846","82","Mysh","66","1959-04-25",NULL
"847","70","Hribek","112","1993-11-09",NULL
"848","35","Ara","77","1928-03-19",NULL
"849","43","Essie","145","1974-02-17",NULL
"850","21","Brutus","68","2000-11-30",NULL
"851","80","Andre","7","1992-12-24",NULL
"852","64","Kysek","81","1976-12-26",NULL
"853","20","Balina","144","1942-09-24",NULL
"854","36","Chicquita","33","1919-05-10",NULL
"855","30","Tapicka","72","2009-04-14",NULL
"856","83","Barinsonek","127","1925-05-15",NULL
"857","62","Bublina","38","1961-07-13",NULL
"858","4","Masa","31","1972-06-17",NULL
"859","39","Marie Terezie","45","1988-06-08",NULL
"860","88","Felicita","26","1987-08-12",NULL
"861","32","Angelina","90","1987-08-04",NULL
"862","60","Kelisova","131","1911-12-01",NULL
"863","48","Plysacek","120","1959-05-08",NULL
"864","63","Mysisek","61","2001-11-30",NULL
"865","63","Molli","66","1942-05-20",NULL
"866","77","Zenny","149","1946-11-15",NULL
"867","17","Matej","148","1991-11-12",NULL
"868","60","Kikousek","150","1985-09-09",NULL
"869","49","Simonka","3","1989-08-07",NULL
"870","76","Samuelson","68","2005-10-05",NULL
"871","6","Charlie","141","1974-11-28",NULL
"872","56","Odysseus","13","1941-11-28",NULL
"873","86","Lefinka","137","1925-08-06",NULL
"874","85","Arabela","7","1938-12-03",NULL
"875","4","Honda","123","1980-07-24",NULL
"876","69","Kyticka","71","1927-01-09",NULL
"877","43","Debbie","53","2003-12-13",NULL
"878","92","Spidy","57","1979-09-22",NULL
"879","1","Sara","94","1975-07-12",NULL
"880","57","Babeta","133","1975-03-15",NULL
"881","74","Karinka","48","1964-04-04",NULL
"882","9","Gina","136","1984-06-10",NULL
"883","94","Tlapka","138","1992-04-02",NULL
"884","47","Greta","123","1944-09-26",NULL
"885","84","Roxana","97","1935-08-12",NULL
"886","59","Buchtilka","76","2006-07-10",NULL
"887","90","Carlos","45","1940-10-26",NULL
"888","22","Pipin","29","1995-01-17",NULL
"889","76","Lisa","146","1941-09-22",NULL
"890","92","Samba","46","1960-02-06",NULL
"891","15","Drtikol","101","1990-02-26",NULL
"892","49","Valentin","135","2007-04-11",NULL
"893","7","Bobrman","20","1980-10-22",NULL
"894","33","Divis","78","1944-12-20",NULL
"895","27","Anca","118","1997-02-14",NULL
"896","32","Oriella","146","1961-07-25",NULL
"897","59","Reggi","77","1957-03-24",NULL
"898","76","Filinka","118","1938-03-07",NULL
"899","43","Tako","131","1933-12-23",NULL
"900","2","Zuzana","128","1992-01-08",NULL
"901","46","Belka","29","1947-02-17",NULL
"902","49","Kacenka","110","1974-04-13",NULL
"903","73","Rejcl","128","1940-10-25",NULL
"904","42","Klubicko","76","1969-12-01",NULL
"905","24","Piza","116","1916-01-12",NULL
"906","52","Mourecka","64","2006-12-08",NULL
"907","29","Lili","115","1953-09-16",NULL
"908","20","Chinta","60","1932-04-24",NULL
"909","89","Nilo","85","1989-02-17",NULL
"910","36","Agina","19","1937-09-06",NULL
"911","28","Mikiki","128","2009-08-18",NULL
"912","8","Ajla","56","1950-02-21",NULL
"913","1","Orion","137","1984-06-03",NULL
"914","57","Johny","112","1986-08-06",NULL
"915","99","Eris","18","1990-06-07",NULL
"916","22","Fousek","31","1955-03-12",NULL
"917","22","Mina","20","1993-05-08",NULL
"918","49","Aqabela","54","1990-01-23",NULL
"919","100","Fanousek","55","1959-01-31",NULL
"920","65","Fedora","18","1935-11-22",NULL
"921","82","Fibi","13","1942-12-23",NULL
"922","41","Koutas","5","1943-12-11",NULL
"923","39","Treysha","125","2005-07-20",NULL
"924","64","Maruska","111","1958-11-16",NULL
"925","90","Kitty al Pitty","33","1992-06-02",NULL
"926","84","Lucietka","87","1996-04-07",NULL
"927","20","Benji","10","1918-12-24",NULL
"928","41","Pankrac","38","1942-08-18",NULL
"929","52","Cynthia","56","1971-01-14",NULL
"930","21","Syndy","36","1942-03-14",NULL
"931","101","Safira","37","1982-06-19",NULL
"932","31","Pupik","48","2000-08-17",NULL
"933","23","Dakh","13","1944-08-21",NULL
"934","73","Samer","143","1983-12-03",NULL
"935","88","Nikos","101","1922-07-26",NULL
"936","57","Wilson","41","1975-09-09",NULL
"937","8","Zofik","25","1925-09-16",NULL
"938","64","Mini Maumau","52","1938-01-31",NULL
"939","69","Trumpetacek","105","1950-01-13",NULL
"940","24","Vlasenka","95","1998-08-29",NULL
"941","47","Valet","144","2006-01-30",NULL
"942","13","Aramek","87","2001-05-06",NULL
"943","67","Rozarka","132","1999-03-19",NULL
"944","7","Tsunami","52","1954-11-01",NULL
"945","60","Ciky","94","1965-03-23",NULL
"946","1","Tapka","115","1950-06-12",NULL
"947","81","Oudy","19","1967-03-17",NULL
"948","79","Afrodita","139","1951-08-15",NULL
"949","92","Cookie","124","1941-02-17",NULL
"950","20","Cherry","123","1991-07-27",NULL
"951","100","Bridget","22","1997-04-28",NULL
"952","8","Helena","87","2000-09-27",NULL
"953","87","Menterese","1","1948-07-16",NULL
"954","73","Quillan","147","1929-02-27",NULL
"955","94","Katinka","110","1962-11-09",NULL
"956","57","Ramses","143","1915-09-13",NULL
"957","64","Bobisek","149","1952-07-15",NULL
"958","100","Quendolina","56","1952-05-23",NULL
"959","78","Tornado Lu","54","1993-02-06",NULL
"960","37","Zoubek","13","1949-04-22",NULL
"961","41","Vendulina","115","2003-11-01",NULL
"962","57","Greisi","16","2008-02-13",NULL
"963","81","Drusilla","8","1996-01-05",NULL
"964","88","Pandora","117","1966-06-04",NULL
"965","80","Kalliope","16","1980-10-04",NULL
"966","49","Pampeliska","76","1971-06-12",NULL
"967","90","Cicmund","18","1999-08-04",NULL
"968","20","Cica","30","1950-08-12",NULL
"969","84","Wicki","145","1990-11-19",NULL
"970","23","Tomicek","118","1939-06-14",NULL
"971","64","Dreysi","62","1965-04-24",NULL
"972","30","Hvezdicka","87","1919-01-02",NULL
"973","84","Hubert","134","1987-09-16",NULL
"974","54","Ernst","14","1944-06-20",NULL
"975","31","Missee","60","1995-10-26",NULL
"976","58","Kordulka","64","1960-08-28",NULL
"977","40","Galadriel","144","1930-08-06",NULL
"978","78","Mikyk","142","2007-08-11",NULL
"979","36","Georgina","3","2009-03-18",NULL
"980","62","Misimi","138","1986-01-14",NULL
"981","84","Chipi","135","1991-04-24",NULL
"982","103","Evelyna","135","1939-05-10",NULL
"983","30","Dasik","119","2007-05-06",NULL
"984","22","Sindinka","35","2007-08-16",NULL
"985","19","Mia","70","1978-11-22",NULL
"986","42","Vanesa","16","1960-05-07",NULL
"987","12","Prna","7","1979-10-30",NULL
"988","44","Wiki","18","1980-11-28",NULL
"989","87","Fabiola","12","2001-10-18",NULL
"990","3","Pan Pu","89","1929-02-18",NULL
"991","39","Sasi","130","1954-12-01",NULL
"992","66","Angie","120","1975-12-30",NULL
"993","76","Sindy","141","2004-01-22",NULL
"994","72","Ajka","11","2007-03-14",NULL
"995","81","Atthos","3","1934-08-14",NULL
"996","81","Tiger","127","1940-02-09",NULL
"997","15","Smolda","69","2007-05-06",NULL
"998","49","Phoebe","106","1983-06-13",NULL
"999","77","Fibina","108","1983-12-19",NULL
"1000","53","Hajdy","139","2006-03-23",NULL
"1001","90","Cita","26","1920-03-14",NULL
"1002","24","Lusien","48","1992-10-12",NULL
"1003","35","Ajda","24","1992-04-05",NULL
"1004","67","Zuzinka","145","1997-10-20",NULL
"1005","93","Smilley","86","2001-01-16",NULL
"1006","94","Zuli","45","2000-08-21",NULL
"1007","70","Ele","35","1988-11-20",NULL
"1008","8","Katyna","10","1931-05-06",NULL
"1009","4","Eliasek","41","1952-08-29",NULL
"1010","24","Jeana","75","1958-02-03",NULL
"1011","48","Tacetka","87","1921-04-23",NULL
"1012","48","Erika","82","1994-11-16",NULL
"1013","46","Kata","26","1925-06-28",NULL
"1014","88","Pipnka","61","2005-05-13",NULL
"1015","91","Penny","8","1939-05-20",NULL
"1016","71","Melisa","15","1991-05-02",NULL
"1017","1","Ivacek","57","2001-05-26",NULL
"1018","84","Kyki","80","1999-12-02",NULL
"1019","52","Heather","43","2006-02-15",NULL
"1020","16","Amina","46","1993-09-06",NULL
"1021","50","Fabio","36","1964-11-12",NULL
"1022","94","Colette","114","1953-12-12",NULL
"1023","36","Nora","140","1915-12-24",NULL
"1024","26","Abelia","130","1980-08-29",NULL
"1025","45","Klara","134","1970-05-01",NULL
"1026","98","Donald","139","1946-06-01",NULL
"1027","25","Jasenka","9","1935-11-06",NULL
"1028","98","Chocholous","131","1976-08-30",NULL
"1029","12","Noel","150","1964-08-28",NULL
"1030","82","Anabelle","4","1956-01-18",NULL
"1031","18","Alerzion","130","2001-01-09",NULL
"1032","69","Alba","22","1999-11-11",NULL
"1033","8","Vali","107","1985-01-21",NULL
"1034","100","Kubo","85","1962-06-09",NULL
"1035","52","Gillaume","6","1993-09-06",NULL
"1036","16","Cimina","100","1948-02-01",NULL
"1037","47","Colorka","40","1995-12-25",NULL
"1038","31","Diggy","48","1972-07-11",NULL
"1039","59","Leontynka","128","1915-07-14",NULL
"1040","67","Omar","18","1922-09-09",NULL
"1041","65","Fryspin","44","1955-08-11",NULL
"1042","48","Capy","101","1972-10-14",NULL
"1043","35","Kotulin","133","1933-11-28",NULL
"1044","12","Zofka","129","1939-11-16",NULL
"1045","94","Zrzik","101","1960-05-23",NULL
"1046","52","Cernobil","122","1997-03-02",NULL
"1047","104","Flower Marillon","74","1919-08-19",NULL
"1048","29","Balu","52","1917-03-06",NULL
"1049","68","Manicka","138","1941-10-04",NULL
"1050","63","Falinka","80","1993-12-27",NULL
"1051","68","Caesar","91","1985-08-27",NULL
"1052","103","Backie","4","1983-01-14",NULL
"1053","32","Motor","33","1973-01-20",NULL
"1054","74","Beja","10","2004-12-03",NULL
"1055","50","Konzuela","34","1968-05-01",NULL
"1056","100","Saxana","52","1989-07-26",NULL
"1057","39","Sugin","120","1931-09-25",NULL
"1058","47","Tlamicka","143","1952-07-27",NULL
"1059","58","Bara","19","2004-05-20",NULL
"1060","15","Lolita","33","1953-03-03",NULL
"1061","35","Jessica","88","1989-04-21",NULL
"1062","73","Serpentyna","140","2001-11-25",NULL
"1063","74","Tulda","21","1930-06-29",NULL
"1064","77","Michel","64","1983-04-16",NULL
"1065","34","Cvikyr","130","1965-12-13",NULL
"1066","75","Yashi","80","1916-08-11",NULL
"1067","71","Dandelion","60","1973-10-28",NULL
"1068","87","Bindy","117","1934-04-07",NULL
"1069","64","Divinka","64","1986-06-12",NULL
"1070","36","Tasinka","137","1966-04-22",NULL
"1071","100","Cicika","100","1913-01-11",NULL
"1072","7","Hermióna","27","1928-11-05",NULL
"1073","35","Valecek","18","1993-11-24",NULL
